Activity_UUID;Activity_ID;SubjectName
00163E24-065E-1EE7-87BC-B61722A5421A;14;Test letter
00163E24-065E-1EE7-87BC-D36CF0BA4302;15;Test letter;
00163E6B-F0AE-1EEA-AAF9-403971340ACC;824;Запросы по сделкам
00163E24-4936-1EE7-A299-FC415B33278F;101;Html test
00163E24-4950-1ED7-ABEB-6DAC604929C8;459;ДК 2: Визит - контроль продаж
00163E2B-1297-1ED7-B3ED-0CEE99FD002F;122;Тестовый e-mail
00163E2B-1297-1EE8-8DFE-2D3122E15647;151;тест
00163E6B-F0AE-1EDA-9DB0-8673529D07AC;721;Запросы по сделкам
00163E6B-F0AE-1EDA-B288-1277A6E3D7EC;958;Запросы ТЗ и техподдержка
